5.6736 	WARNING 	Requested an unavailable screen number - using first available.
5.6829 	WARNING 	User requested fullscreen with size [1536  864], but screen is actually [1920, 1080]. Using actual size
7.7008 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002BBBE750CD0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002BBBE750C70>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002BBBE750A90>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000002BBBEB92AC0>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=1, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
7.7009 	EXP 	window1: mouseVisible = True
7.7009 	EXP 	window1: backgroundImage = ''
7.7009 	EXP 	window1: backgroundFit = 'none'
7.7026 	EXP 	window1: Attempting to measure frame rate of screen (1) ...
7.7027 	EXP 	window1: recordFrameIntervals = False
7.7696 	EXP 	window1: recordFrameIntervals = True
7.8463 	EXP 	Screen (1) actual frame rate measured at 144.03Hz
7.8464 	EXP 	window1: recordFrameIntervals = False
7.8466 	EXP 	window1: mouseVisible = False
9.6381 	EXP 	video_presentation: status = STARTED
9.6433 	EXP 	window1: mouseVisible = True
9.7014 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([-1., -1., -1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, draggable=False, flipHoriz=True, flipVert=False, font='Open Sans', fontFiles=[], height=0.04, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0.0, pos=array([0.  , 0.25]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
9.7015 	EXP 	window1: mouseVisible = True
